Supplier,Purchase Currency,BRAND,TYPE,SUBTYPE,SKU,EAN,Product Name,Base Price/Unit (USD),Purchase Price/Unit,QTY,TOTAL (USD),Remarks,Incoming Stocks,Incoming Stocks (USD),Allocated Stocks,Allocated Stocks (USD),Non-Allocated Stocks,Non-Allocated Stocks (USD),Total Stocks,SOH + In Transit Stock (USD),PO Number
<django.db.models.fields.TextField>,EUR,PR,Catalogue,Body,65102224,3349666007990,1M Deo Stick 75ml,0,7.0502,60.00000,0,,0,0,0,0,60.00000,0,60.00000,0,
ABC (VND),USD,AB,Catalogue,Frangrances,001TEST,,Perfume TEST,0,12.0000,30.00000,0,,0,0,0,0,30.00000,0,30.00000,0,PO3038
ABC (VND),USD,AB,Catalogue,Frangrances,001TEST,,Perfume TEST,0,45.0000,10.00000,0,,0,0,0,0,10.00000,0,10.00000,0,PO3038
Acqua Di Parma S.R.L (EUR),EUR,ADP,Catalogue,Body,57287,8028713572876,BM MIRTO BODY LOTION 150 ml,0,11.0000,36.00000,0,ADP CH 2403 - ETA SIN 2707 TBA,0,0,0,0,36.00000,0,36.00000,0,PO0429
Acqua Di Parma S.R.L (EUR),EUR,ADP,Catalogue,Body,57287,8028713572876,BM MIRTO BODY LOTION 150 ml,0,11.0000,36.00000,0,ADP CH 2305 - ETA SIN 2707 & 2310,0,0,0,0,36.00000,0,36.00000,0,PO0454
Acqua Di Parma S.R.L (EUR),EUR,ADP,Catalogue,Candles,421,8028713004216,Black Cube Candle 1 kg,0,32.1400,12.00000,0,ADP CH 2305 - ETA SIN 2707 & 2310,0,0,0,0,12.00000,0,12.00000,0,PO0454
Acqua Di Parma S.R.L (EUR),EUR,ADP,Catalogue,Candles,421,8028713004216,Black Cube Candle 1 kg,0,32.1400,12.00000,0,ADP CH 2403 - ETA SIN 2707 TBA,0,0,0,0,12.00000,0,12.00000,0,PO0429
Acqua Di Parma S.R.L (EUR),EUR,ADP,Catalogue,Candles,62005,8028713620058,BM Arancia Candle 200 gr,0,15.1000,12.00000,0,ADP CH 2403 - ETA SIN 2707 TBA,0,0,0,0,12.00000,0,12.00000,0,PO0429
Acqua Di Parma S.R.L (EUR),EUR,ADP,Catalogue,Candles,62005,8028713620058,BM Arancia Candle 200 gr,0,15.1000,12.00000,0,ADP CH 2305 - ETA SIN 2707 & 2310,0,0,0,0,12.00000,0,12.00000,0,PO0454
Acqua Di Parma S.R.L (EUR),EUR,ADP,Catalogue,Candles,62006,8028713620065,BM Bergamotto Candle 200 gr,0,15.1000,12.00000,0,ADP CH 2305 - ETA SIN 2707 & 2310,0,0,0,0,12.00000,0,12.00000,0,PO0454
Acqua Di Parma S.R.L (EUR),EUR,ADP,Catalogue,Candles,62816,8028713628160,BM Bergamotto Diff. Spray 100 ml,0,0,3.00000,0,ADP CH 2305 - ETA SIN 2707 & 2310,0,0,0,0,3.00000,0,3.00000,0,PO0454
Acqua Di Parma S.R.L (EUR),EUR,ADP,Catalogue,Candles,62009,8028713620096,BM CHINOTTO CANDLE 200 gr,0,15.1000,12.00000,0,ADP CH 2305 - ETA SIN 2707 & 2310,0,0,0,0,12.00000,0,12.00000,0,PO0454
Acqua Di Parma S.R.L (EUR),EUR,ADP,Catalogue,Candles,62069,8028713620690,Buongiorno Candle 200 gr,0,15.1000,6.00000,0,ADP CH 2305 - ETA SIN 2707 & 2310,0,0,0,0,6.00000,0,6.00000,0,PO0454
Acqua Di Parma S.R.L (EUR),EUR,ADP,Catalogue,Candles,62069,8028713620690,Buongiorno Candle 200 gr,0,15.1000,12.00000,0,ADP CH 2403 - ETA SIN 2707 TBA,0,0,0,0,12.00000,0,12.00000,0,PO0429
Acqua Di Parma S.R.L (EUR),EUR,ADP,Catalogue,Candles,62030,8028713620300,Buongiorno Candle 500 gr,0,41.4200,12.00000,0,ADP CH 2403 - ETA SIN 2707 TBA,0,0,0,0,12.00000,0,12.00000,0,PO0429
Acqua Di Parma S.R.L (EUR),EUR,ADP,Catalogue,Candles,62030,8028713620300,Buongiorno Candle 500 gr,0,41.4200,12.00000,0,ADP CH 2305 - ETA SIN 2707 & 2310,0,0,0,0,12.00000,0,12.00000,0,PO0454
Acqua Di Parma S.R.L (EUR),EUR,ADP,Catalogue,Candles,62811,8028713628115,Buongiorno Diffusore Spray 100ml,0,0,3.00000,0,ADP CH 2305 - ETA SIN 2707 & 2310,0,0,0,0,3.00000,0,3.00000,0,PO0454
Acqua Di Parma S.R.L (EUR),EUR,ADP,Catalogue,Candles,62023,8028713620232,INSIEME CANDLE 200 GR.,0,15.1000,6.00000,0,ADP CH 2305 - ETA SIN 2707 & 2310,0,0,0,0,6.00000,0,6.00000,0,PO0454
Acqua Di Parma S.R.L (EUR),EUR,ADP,Catalogue,Candles,62067,8028713620676,La Casa Sul Lago Candle 200 gr,0,15.1000,6.00000,0,ADP CH 2305 - ETA SIN 2707 & 2310,0,0,0,0,6.00000,0,6.00000,0,PO0454
Acqua Di Parma S.R.L (EUR),EUR,ADP,Catalogue,Candles,62001,8028713620010,LA CASA SUL LAGO CANDLE 200 gr,0,15.1000,12.00000,0,ADP CH 2403 - ETA SIN 2707 TBA,0,0,0,0,12.00000,0,12.00000,0,PO0429
Acqua Di Parma S.R.L (EUR),EUR,ADP,Catalogue,Candles,62066,8028713620669,Luce Di Colonia Candle 200 gr,0,15.1000,12.00000,0,ADP CH 2403 - ETA SIN 2707 TBA,0,0,0,0,12.00000,0,12.00000,0,PO0429
